run,best_epoch,stopped_epoch,best_train_loss,best_val_loss,fitted_weight,fitted_bias
1,144,154,0.03867892920970917,0.05368516221642494,1.9957314,1.000628
2,138,148,0.03496130555868149,0.043381381779909134,2.0149913,0.9923936
3,33,43,0.038660354912281036,0.041990090161561966,1.9894078,1.0077566
4,50,60,0.038389213383197784,0.04126359894871712,1.9828196,0.9981004
5,42,52,0.04003773257136345,0.04337681084871292,1.9832375,0.9841072
6,36,46,0.03732955828309059,0.03486006334424019,1.9821392,1.002779
7,132,142,0.03856835141777992,0.0397639274597168,1.9946384,1.0017633
8,38,48,0.036475688219070435,0.037371061742305756,1.9504279,1.0051616
9,39,49,0.0403359979391098,0.0268010962754488,1.9849207,1.0068594
10,51,61,0.03929002955555916,0.03257126361131668,1.9937954,0.991156
11,140,150,0.039332810789346695,0.03881434351205826,1.9936751,0.9949331
12,144,154,0.041351377964019775,0.03058965504169464,1.9790461,0.99913967
13,152,162,0.0336686372756958,0.03879425302147865,2.0131025,1.0062121
14,34,44,0.03854333981871605,0.03858563303947449,1.9687359,0.99811435
15,12,22,0.04329763725399971,0.0519426167011261,1.9150931,0.9654104
16,132,142,0.04244118928909302,0.057859428226947784,2.0013883,0.9892097
17,27,37,0.03657730296254158,0.025421446189284325,1.9657831,0.99866706
18,47,57,0.037250880151987076,0.03502754867076874,1.9983317,1.0043077
19,54,64,0.041422728449106216,0.03737770393490791,1.9998052,1.0003644
20,142,152,0.04418531432747841,0.04938272386789322,1.9878222,1.0159049
21,50,60,0.03925461322069168,0.051943376660346985,2.0052395,0.9961829
22,163,173,0.03850387781858444,0.0442323237657547,1.9852778,0.99933165
23,39,49,0.042019933462142944,0.026611726731061935,1.9778948,0.9850284
24,129,139,0.03882201015949249,0.04082091152667999,2.0264306,0.993219
25,38,48,0.03921717777848244,0.02991063892841339,1.9738115,0.9995165
26,22,32,0.040614932775497437,0.034602295607328415,1.9220157,1.0012318
27,50,60,0.042180705815553665,0.03434646874666214,1.9586993,0.993399
28,133,143,0.04333724454045296,0.031858064234256744,2.0031643,0.9976708
29,54,64,0.038385745137929916,0.044181205332279205,2.0107298,0.9941291
30,144,154,0.04078657180070877,0.04675883427262306,1.9841101,1.007728
31,37,47,0.04202507808804512,0.04188811406493187,1.9861615,1.0034475
32,137,147,0.04338134452700615,0.04492160305380821,2.001569,0.99712825
33,29,39,0.03888310119509697,0.045990075916051865,1.9746524,1.0018436
34,50,60,0.04233022779226303,0.03500435873866081,1.9799944,0.99611753
35,139,149,0.0440850630402565,0.04399948939681053,1.9905,0.99251604
36,131,141,0.04167511314153671,0.05358397588133812,2.003418,0.99574846
37,40,50,0.04076484963297844,0.03566864877939224,1.9518228,0.9877209
38,28,38,0.048159219324588776,0.038344480097293854,1.8757588,1.0115113
39,136,146,0.03938379883766174,0.05489977076649666,1.9966862,0.99308383
40,32,42,0.043977729976177216,0.03012797050178051,1.8702991,0.9972288
41,135,145,0.03584780916571617,0.03705509379506111,1.9687676,1.0157094
42,47,57,0.0410020686686039,0.03710079938173294,1.9670637,1.0132478
43,26,36,0.041441287845373154,0.028988981619477272,1.9430683,0.99496686
44,40,50,0.03962555527687073,0.03800860047340393,1.9554231,0.9985615
45,11,21,0.044564083218574524,0.03137371689081192,1.9074483,0.9697647
46,23,33,0.04128953441977501,0.03563250973820686,1.932745,1.0087999
47,61,71,0.03443319350481033,0.04899923875927925,2.0299103,1.0001281
48,118,128,0.04218842461705208,0.04290909320116043,1.9936243,1.0108452
49,112,122,0.03629697114229202,0.04072631523013115,2.0138593,1.0096155
50,44,54,0.03619810566306114,0.030687721446156502,1.9850962,1.0052187
51,23,33,0.04253983125090599,0.04842410236597061,1.9637951,0.9827503
52,135,145,0.04192132130265236,0.06206657364964485,1.966567,0.9962054
53,148,158,0.041439127177000046,0.03639306128025055,2.0200188,0.99518687
54,48,58,0.041873298585414886,0.05278141796588898,1.9909856,0.9928273
55,26,36,0.041991427540779114,0.03564223274588585,1.9087183,1.0115538
56,118,128,0.03834158182144165,0.04601110890507698,1.9866022,0.9930831
57,37,47,0.041936177760362625,0.03898557648062706,1.943316,1.0003686
58,46,56,0.04155384749174118,0.03883591666817665,1.9921229,1.0100075
59,126,136,0.04055703058838844,0.04050390049815178,1.9724282,0.9897696
60,137,147,0.03928311541676521,0.049006544053554535,1.9675236,1.0260983
61,128,138,0.041452862322330475,0.0426158532500267,1.9881479,1.0024706
62,120,130,0.037676289677619934,0.03318070247769356,2.002988,0.98718464
63,144,154,0.03520024195313454,0.03309192880988121,1.9780055,1.0093071
64,45,55,0.03935199975967407,0.04976397380232811,1.9508322,1.010038
65,34,44,0.03828618302941322,0.03722313791513443,1.9908029,0.9970189
66,41,51,0.042587608098983765,0.03599297255277634,1.9480642,0.99461377
67,39,49,0.04167453944683075,0.03701186552643776,1.9514115,0.9812057
68,154,164,0.037803057581186295,0.031768277287483215,1.998282,1.005184
69,136,146,0.04168637841939926,0.037994384765625,2.0106945,0.9916774
70,32,42,0.04082820191979408,0.03897881507873535,1.9945114,1.0155519
71,37,47,0.03829072043299675,0.02843581698834896,1.9903448,0.9908838
72,37,47,0.03946997970342636,0.044883329421281815,1.9717429,0.9990943
73,20,30,0.042035263031721115,0.033025942742824554,1.9667579,1.0088203
74,149,159,0.03812861442565918,0.03587588295340538,1.9850574,0.97769177
75,43,53,0.04063212871551514,0.039435014128685,1.9618236,0.9957221
76,148,158,0.034786656498909,0.04565880447626114,1.9898415,1.0020106
77,46,56,0.04249073192477226,0.05278322100639343,1.993781,0.99626994
78,99,109,0.03619494289159775,0.038136739283800125,2.0308132,0.9999172
79,133,143,0.03920821100473404,0.037165042012929916,1.9670724,1.0013845
80,131,141,0.03405158594250679,0.040576230734586716,2.0005894,0.99543023
81,132,142,0.03524113446474075,0.03533110022544861,2.0139453,1.0063622
82,118,128,0.04059327393770218,0.02697233110666275,1.9991752,1.0008163
83,36,46,0.03873501718044281,0.04177141934633255,1.939615,1.0117667
84,141,151,0.04560315981507301,0.04895900562405586,1.9599906,1.0083328
85,27,37,0.044799529016017914,0.041078586131334305,1.9286392,0.99477136
86,139,149,0.03872881457209587,0.04014495387673378,2.0139146,1.0079896
87,111,121,0.04085800051689148,0.03014932945370674,2.003221,0.9968302
88,123,133,0.03910665959119797,0.031274616718292236,1.9855562,0.99885255
89,117,127,0.04197034239768982,0.03586150333285332,2.0048385,0.98786706
90,42,52,0.03810298070311546,0.06559724360704422,1.9914926,1.0054555
91,123,133,0.04139167070388794,0.03862869367003441,1.9613788,0.9993857
92,108,118,0.039998237043619156,0.041264843195676804,1.9864573,0.9930578
93,143,153,0.0386175736784935,0.03991030529141426,1.9755249,1.0022582
94,62,72,0.041109006851911545,0.046591807156801224,2.0346735,0.99684864
95,141,151,0.042189788073301315,0.025112217292189598,1.9909837,1.0039716
96,45,55,0.042642176151275635,0.040923431515693665,2.0041215,1.0175397
97,151,161,0.04033875837922096,0.03684727102518082,1.9829017,0.9824096
98,44,54,0.03959302976727486,0.0328659750521183,1.9786563,1.0082194
99,42,52,0.03818293660879135,0.04628749191761017,1.9854786,0.9849947
100,118,128,0.0396030992269516,0.050917044281959534,1.9871541,1.0006438
